data_compra;fornecedor;categoria;centro_custo;status;quantidade;valor_compra;forma_pagamento
2026-01-04;Alpha Supply;Insumos;Operacoes;Aprovado;42;1840,5;Boleto
2026-01-09;Beta Tech;Tecnologia;TI;Aprovado;8;5220,0;Cartao
2026-01-17;Delta Office;Escritorio;Administrativo;Aprovado;30;960,0;Pix
2026-02-02;Alpha Supply;Insumos;Operacoes;Aprovado;38;1710,0;Boleto
2026-02-12;Gamma Logistics;Frete;Logistica;Pendente;6;2450,0;Boleto
2026-02-20;Beta Tech;Tecnologia;TI;Aprovado;4;3180,0;Cartao
2026-03-03;Delta Office;Escritorio;Administrativo;Aprovado;45;1350,0;Pix
2026-03-11;Gamma Logistics;Frete;Logistica;Aprovado;9;3720,0;Boleto
2026-03-18;Alpha Supply;Insumos;Operacoes;Cancelado;12;0,0;Boleto
2026-04-07;Beta Tech;Tecnologia;TI;Aprovado;10;7400,0;Cartao
2026-04-16;Omega Services;Servicos;Marketing;Aprovado;3;4200,0;Pix
2026-04-27;Gamma Logistics;Frete;Logistica;Aprovado;7;2880,0;Boleto
